N;Group;art;catonto#1;catonto#2;catframe#1;catframe#2;catframe#3;catframe#GPT;topic;agentive;functional;biological;container;scattered;part/feature;heap;place;abstract (no space-time);iconic;fictionary;autonomous;Interaction;tot TAS-20;Difficulty Describing Feelings;Difficulty Identifying Feeling;Externally-Oriented Thinking;Extraversion; Agreeableness;Conscientiousness;Neuroticism;Openness;Self/Everyday Creativity;Scholarly Creativity;Performance Creativity;Mechanical/Scientific Creativity;Artistic Creativity;Realism;Possibility to act;Quality of interface;Possibility to examine;Self-evaluation of performance;Sounds ;Haptic;tot PQ
1;1;figura umana;2,5;2;1,5;1,5;1,5;2,5;2;1;0;1;0;0;0;0;0;0;1;0;0;33;36;10;12;14;31;37;35;23;43;50;47;41;32;41;137;37;20;20;18;11;19;12
2;1;Torre;1;1;1,5;2;1,5;2;1;0;1;0;1;0;0;0;1;0;0;0;0;20;45;10;21;14;32;29;33;23;38;40;45;31;20;29;118;31;17;16;16;12;15;11
3;1;punto esclamativo;4;4;2;2;3;3;5;0;1;0;0;1;0;0;0;0;1;0;0;12;57;21;21;15;22;26;33;29;37;38;49;37;16;31;116;35;21;19;14;7;12;8
4;1;albero;1;1;1;1;1;1;3;0;0;1;0;0;0;0;1;0;0;0;1;18;45;11;17;17;27;34;32;22;41;45;48;18;32;25;117;22;19;19;17;14;16;10
5;1;topolino;4;3;2,5;2,5;2,5;2,3;2,5;1;0;1;0;0;0;0;0;0;0;1;1;18;33;8;11;14;33;32;33;30;24;38;28;12;12;22;133;46;16;21;19;13;11;7
6;1;castello;1;1;2;2;1,5;1,5;1,5;0;1;0;1;0;0;0;1;0;0;0;0;16;38;11;12;15;19;39;39;29;36;48;47;22;20;33;150;47;21;21;20;13;16;12
7;1;capanna;1;1;1;2;1;1,5;1;0;1;0;1;0;0;0;1;0;0;0;0;20;52;16;21;15;30;40;42;24;35;42;33;17;14;28;120;27;21;21;14;13;10;14
8;1;composizione astratta;4;3;4;4;4;4;4;0;0;0;0;1;0;0;0;1;1;1;0;10;51;14;24;13;21;27;30;35;34;31;33;42;16;26;112;18;24;19;14;9;18;10
9;1;motorino;1;2;2;2;2;1,5;1;0;1;0;0;0;0;0;0;0;0;0;1;23;39;9;16;14;15;32;38;23;35;40;41;23;14;35;115;37;18;14;17;7;12;10
10;1;sistema solare;2;3;4;4;4;2;3;0;0;0;1;1;0;0;1;0;0;0;1;26;45;8;19;18;31;34;37;23;37;51;38;38;37;42;111;34;18;14;14;11;10;10
11;1;koala;1;1;1;1;1;1;3;1;0;1;0;0;0;0;0;0;0;0;1;20;32;8;12;12;31;41;36;26;32;46;31;21;14;28;114;36;20;19;10;5;14;10
12;1;alveare;1;2;2;2;2;1,5;1;0;1;0;1;0;0;0;1;0;0;0;0;23;37;9;14;14;29;23;34;16;29;38;45;34;39;37;128;43;17;15;18;12;11;12
13;1;ordine di grandezza;4;4;4;4;4;3;1;0;0;0;0;0;0;0;0;1;1;0;0;29;39;5;15;19;34;27;29;37;39;47;39;25;16;43;117;43;15;12;16;12;10;9
14;1;donna incinta;1,5;1;2;2;2;1,5;3;1;1;1;1;0;1;0;1;0;0;0;1;27;35;9;10;16;22;25;34;29;30;36;32;27;15;23;110;29;13;20;13;8;15;12
15;1;composizione astratta;4;3;4;4;4;4;4;0;0;0;0;1;0;0;0;1;1;1;0;21;66;21;28;17;24;34;27;33;27;37;31;26;29;34;111;33;19;9;14;9;17;10
16;1;pupazzo di neve;4;3;1;2;1,7;2;1;0;1;0;0;0;0;0;0;0;1;1;0;13;50;19;22;9;14;30;25;39;34;28;40;21;27;24;108;34;19;16;13;10;8;8
17;1;lampadario;1;2;1;2;1,5;1,7;1;0;1;0;0;0;0;0;0;0;0;0;0;22;62;25;23;14;16;26;27;34;30;40;44;25;19;27;140;41;24;20;18;10;14;13
